Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>What are the three key choices that make animations feel more natural?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><ul><li><strong>Easing</strong> - the acceleration curve of the animation</li><li><strong>Duration</strong> - how long the animation takes</li><li><strong>Properties</strong> - which CSS properties are being animated</li></ul></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>What is a common mistake beginners make with animations?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><p>Animating too much in an attempt to "delight" the user.</p><p>Users typically have a specific goal and don't expect to be delighted—they just want to achieve their goal. Excessive animations can make the experience worse instead of better.</p></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>How do you know when an animation "feels right"?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><p>An animation feels right when:</p><ul><li>Neither you nor the user is surprised or annoyed by its existence</li><li>It's obvious why it exists</li></ul></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>Which CSS properties should you prefer to animate for best performance?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><p><strong>transform</strong> and <strong>opacity</strong></p><p>These only trigger the composite step (the third rendering step).</p><p>Avoid animating <code>padding</code> or <code>margin</code> as they trigger all three steps: layout, paint, and composite.</p></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>What are the three browser rendering steps, and which do transform/opacity trigger?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><p>The three rendering steps:</p><ol><li><strong>Layout</strong></li><li><strong>Paint</strong></li><li><strong>Composite</strong></li></ol><p><code>transform</code> and <code>opacity</code> only trigger <strong>composite</strong> (step 3), making them the most performant properties to animate.</p></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>What should you use for animations when the main thread is busy?</h2></div>
Back: <div style="background-color: #1a1a2e; color: #e94560; padding: 20px; font-family: sans-serif;"><p>Use <strong>hardware-accelerated animations</strong> like:</p><ul><li>CSS animations/transitions</li><li>WAAPI (Web Animation API)</li></ul><p>These run on the GPU/compositor thread, not blocked by the busy main thread.</p></div>

Front: <div style="background-color: #1a1a2e; color: #00d4ff; padding: 20px; font-family: sans-serif;"><h2>What is interruptibility in animations and why does it matter?</h2></div>
